date,origin_port,destination_port,vessel_class,cargo_type,quantity_mt,route_distance_nm,bunker_price_usd_per_mt,bunker_cost_usd,hire_cost_usd,port_cost_usd,demurrage_usd,freight_cost_usd,freight_rate_usd_per_mt,bdi_value_synthetic,is_synthetic
2025-01-03,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,18013,5300,713.79,245201.62,189360.49,62808.53,14233.58,511604.22,28.4,1990,True
2025-01-03,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,13618,5300,950.57,326538.28,210285.68,57430.32,5709.25,599963.53,44.06,2523,True
2025-01-04,"Gladstone, Australia","Paradip, India",Handysize,Coal,19651,6300,947.17,386760.75,270262.22,65047.55,3930.05,726000.58,36.94,2958,True
2025-01-04,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,92806,4600,928.59,395509.98,264823.7,74990.44,41248.09,776572.22,8.37,2579,True
2025-01-06,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,128683,5300,752.77,515904.29,422263.79,64684.65,0.0,1002852.73,7.79,2621,True
2025-01-09,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,117555,5300,964.74,661177.32,365334.48,71568.71,20142.52,1118223.03,9.51,1998,True
2025-01-10,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,45675,6300,880.34,445062.08,196031.11,59146.71,58233.94,758473.85,16.61,534,True
2025-01-10,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,165483,5300,740.34,507389.22,421898.28,66281.6,0.0,995569.1,6.02,2617,True
2025-01-10,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,89207,5300,772.1,378903.07,248537.28,76054.63,33492.98,736987.96,8.26,1498,True
2025-01-11,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,42805,4600,772.41,285123.01,198674.57,65237.29,58223.79,607258.65,14.19,2164,True
2025-01-12,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,48176,6300,907.95,459020.59,261411.11,59903.13,0.0,780334.84,16.2,1935,True
2025-01-12,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,32338,4600,965.44,287843.12,150789.14,71677.77,0.0,510310.02,15.78,1592,True
2025-01-13,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,114748,4600,824.33,490335.84,246417.24,67031.66,0.0,803784.74,7.0,1107,True
2025-01-13,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,52609,5300,931.37,396118.69,234796.54,59684.73,39720.24,730320.21,13.88,2314,True
2025-01-15,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,40587,6300,903.02,456529.02,241997.78,59204.11,0.0,757730.91,18.67,1519,True
2025-01-17,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,49890,4600,701.97,259122.5,172914.57,58940.92,26094.33,517072.32,10.36,1408,True
2025-01-27,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,21738,5300,937.0,321875.27,169102.72,67543.62,0.0,558521.6,25.69,1474,True
2025-01-28,"Gladstone, Australia","Paradip, India",Handysize,Coal,22991,6300,850.6,347329.2,200588.89,62881.82,0.0,610799.91,26.57,1465,True
2025-01-28,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,134803,4600,990.12,588951.41,386162.07,67285.59,0.0,1042399.07,7.73,2869,True
2025-01-29,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,69312,4600,868.93,370100.95,205398.52,73244.03,79240.28,727983.78,10.5,1271,True
2025-01-31,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,47623,5300,851.61,362195.64,167820.25,66908.64,0.0,596924.52,12.53,608,True
2025-02-02,"Richards Bay, South Africa","Visakhapatnam, India",Capesize,Coal,164213,4600,857.75,510211.23,389968.97,59886.59,0.0,960066.78,5.85,2917,True
2025-02-05,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,43941,4600,984.78,363516.24,204637.53,57976.22,96381.8,722511.79,16.44,2339,True
2025-02-05,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,17733,5300,933.55,320693.3,189753.09,62329.46,0.0,572775.85,32.3,2000,True
2025-02-08,"Gladstone, Australia","Paradip, India",Panamax,Coal,63184,6300,878.18,512270.05,245528.89,69225.31,17306.88,844331.13,13.36,696,True
2025-02-08,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,123040,5300,980.18,671759.09,241972.41,76934.95,24674.72,1015341.17,8.25,648,True
2025-02-09,"Richards Bay, South Africa","Visakhapatnam, India",Handysize,Coal,13053,4600,844.67,251837.48,131741.73,74745.65,13530.69,471855.55,36.15,1033,True
2025-02-11,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,46532,5300,951.77,404795.43,188078.02,59486.53,15901.81,668261.8,14.36,1124,True
2025-02-13,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,56970,4600,972.32,358917.32,192370.86,62926.14,0.0,614214.33,10.78,1979,True
2025-02-14,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,50496,6300,854.17,431829.59,212784.44,57850.08,0.0,702464.11,13.91,893,True
2025-02-14,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,90018,4600,893.0,380352.79,176140.25,55398.98,26402.1,638294.13,7.09,627,True
2025-02-18,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,77905,4600,737.34,314053.29,238836.54,64049.88,23193.36,640133.07,8.22,2007,True
2025-02-21,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,44126,6300,936.09,473247.23,233644.44,55578.03,0.0,762469.71,17.28,1340,True
2025-02-22,"Gladstone, Australia","Paradip, India",Capesize,Coal,114953,6300,946.63,771180.85,449798.28,65310.17,0.0,1286289.3,11.19,2141,True
2025-02-26,"Gladstone, Australia","Paradip, India",Handymax / Supramax,Coal,56818,6300,824.63,416894.95,302197.78,55327.95,39541.97,813962.64,14.33,2809,True
2025-02-27,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,146504,5300,980.56,672022.96,293418.97,58050.31,50640.13,1074132.37,7.33,1211,True
2025-02-28,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,147619,5300,853.93,585233.63,288301.72,75914.16,10075.66,959525.17,6.5,1155,True
2025-03-01,"Richards Bay, South Africa","Visakhapatnam, India",Panamax,Coal,94669,4600,712.2,303342.72,183454.81,73192.5,3210.35,563200.39,5.95,788,True
2025-03-01,"Port Hedland, Australia","Visakhapatnam, India",Capesize,Iron Ore,135851,5300,762.81,522791.12,291500.0,67254.42,13291.25,894836.78,6.59,1190,True
2025-03-02,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,23632,5300,973.37,334369.94,208479.75,72452.09,0.0,615301.79,26.04,2477,True
2025-03-03,"Gladstone, Australia","Paradip, India",Panamax,Coal,92836,6300,930.13,542577.58,341226.67,70141.64,5377.79,959323.68,10.33,2234,True
2025-03-03,"Port Hedland, Australia","Visakhapatnam, India",Panamax,Iron Ore,70087,5300,910.4,446769.61,219276.05,56894.03,22947.69,745887.38,10.64,939,True
2025-03-04,"Gladstone, Australia","Paradip, India",Panamax,Coal,67161,6300,774.6,451848.19,281804.44,66334.57,0.0,799987.21,11.91,1279,True
2025-03-04,"Gladstone, Australia","Paradip, India",Panamax,Coal,72439,6300,990.46,577769.54,349191.11,56108.49,15475.66,998544.79,13.78,2362,True
2025-03-05,"Port Hedland, Australia","Visakhapatnam, India",Handysize,Iron Ore,12808,5300,900.44,309318.62,217901.98,63521.69,0.0,590742.29,46.12,2717,True
2025-03-06,"Gladstone, Australia","Paradip, India",Panamax,Coal,60810,6300,911.37,531632.76,367048.89,71653.16,38852.26,1009187.07,16.6,2649,True
2025-03-09,"Gladstone, Australia","Paradip, India",Capesize,Coal,131278,6300,717.37,584410.63,309894.83,75266.44,0.0,969571.9,7.39,853,True
2025-03-09,"Port Hedland, Australia","Visakhapatnam, India",Handymax / Supramax,Iron Ore,53900,5300,950.7,404340.72,196636.54,66368.35,69021.15,736366.76,13.66,1342,True
2025-03-11,"Richards Bay, South Africa","Visakhapatnam, India",Handymax / Supramax,Coal,53230,4600,735.97,271671.39,221470.12,59662.95,0.0,552804.47,10.39,2833,True
2025-03-12,"Gladstone, Australia","Paradip, India",Handysize,Coal,19407,6300,822.66,335919.53,181408.89,71614.04,0.0,588942.46,30.35,1054,True
