TABLE-1 : Major Port -wise Monthly Cargo handled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S.
No.",,,Name of Ports,,,,,,"April 2025
(P)",,,April 2026 (A),,,,,,"Percentage
Change in
April 2026
over April
2025",,,"April-March
2024-25",,,"April-March 2025-26
(A)",,,,,,,Percentage,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change in,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April-,
,,,,,,,,,"Cargo
handled",,,"Cargo
handled",,,"Percent
share",,,,,,"Cargo
handled",,,"Cargo
handled",,,"Percent
share",,,,March,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,over,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,
,(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),,,(9),,,(10),,,(11),
1,,,SMP Kolkata,,,Overseas,,,5568883,,,4849204,,,8.89,,,-12.92,,,58427329,,,66518021,,,9.49,,,13.85,,
,,,,,,,Overseas,,,5568883,,,4849204,,,8.89,,,-12.92,,,58427329,,,66518021,,,9.49,,,13.85,
,,,,,,,Coastal,,,397354,,,359790,,,1.87,,,-9.45,,,5523555,,,4179639,,,1.96,,,-24.33,
,,,,,,Total,,,5966237,,,5208994,,,7.06,,,-12.69,,,63950884,,,70697660,,,7.73,,,10.55,,
,,,KDS,,,Overseas,,,1587963,,,1593641,,,2.92,,,0.36,,,15299414,,,18436983,,,2.63,,,20.51,,
,,,,,,,Overseas,,,1587963,,,1593641,,,2.92,,,0.36,,,15299414,,,18436983,,,2.63,,,20.51,
,,,,,,,Coastal,,,15682,,,33801,,,0.18,,,115.54,,,1341549,,,405591,,,0.19,,,-69.77,
,,,,,,Total,,,1603645,,,1627442,,,2.21,,,1.48,,,16640963,,,18842574,,,2.06,,,13.23,,
,,,HDC,,,Overseas,,,3980920,,,3255563,,,5.97,,,-18.22,,,43127915,,,48081038,,,6.86,,,11.48,,
,,,,,,Coastal,,,381672,,,325989,,,1.70,,,-14.59,,,4182006,,,3774048,,,1.77,,,-9.76,,
,,,,,,Total,,,4362592,,,3581552,,,4.86,,,-17.90,,,47309921,,,51855086,,,5.67,,,9.61,,
2,,,Paradip,,,Overseas,,,7407518,,,6521261,,,11.96,,,-11.96,,,86694390,,,90645341,,,12.93,,,4.56,,
,,,,,,,Overseas,,,7407518,,,6521261,,,11.96,,,-11.96,,,86694390,,,90645341,,,12.93,,,4.56,
,,,,,,,Coastal,,,5193214,,,6086515,,,31.66,,,17.20,,,63714100,,,65805489,,,30.83,,,3.28,
,,,,,,Total,,,12600732,,,12607776,,,17.09,,,0.06,,,150408490,,,156450830,,,17.10,,,4.02,,
3,,,Visakhapatnam,,,Overseas,,,4859576,,,5034407,,,9.23,,,3.60,,,63189000,,,65302125,,,9.31,,,3.34,,
,,,,,,,Overseas,,,4859576,,,5034407,,,9.23,,,3.60,,,63189000,,,65302125,,,9.31,,,3.34,
,,,,,,,Coastal,,,1851789,,,2369675,,,12.33,,,27.97,,,19434000,,,25864221,,,12.12,,,33.09,
,,,,,,Total,,,6711365,,,7404082,,,10.04,,,10.32,,,82623000,,,91166346,,,9.97,,,10.34,,
4,,,Kamarajar,,,Overseas,,,2185875,,,2086000,,,3.82,,,-4.57,,,28710000,,,29522370,,,4.21,,,2.83,,
,,,,,,,Overseas,,,2185875,,,2086000,,,3.82,,,-4.57,,,28710000,,,29522370,,,4.21,,,2.83,
,,,,,,,Coastal,,,1523738,,,1990377,,,10.35,,,30.62,,,19697000,,,19558155,,,9.16,,,-0.70,
,,,,,,Total,,,3709613,,,4076377,,,5.53,,,9.89,,,48407000,,,49080525,,,5.37,,,1.39,,
5,,,Chennai,,,Overseas,,,4290599,,,4049876,,,7.43,,,-5.61,,,48819020,,,52770013,,,7.52,,,8.09,,
,,,,,,,Overseas,,,4290599,,,4049876,,,7.43,,,-5.61,,,48819020,,,52770013,,,7.52,,,8.09,
,,,,,,,Coastal,,,446608,,,481667,,,2.51,,,7.85,,,6142492,,,5132962,,,2.40,,,-16.44,
,,,,,,Total,,,4737207,,,4531543,,,6.14,,,-4.34,,,54961512,,,57902975,,,6.33,,,5.35,,
6,,,V.O.C.,,,Overseas,,,2561707,,,2577468,,,4.73,,,0.62,,,29739917,,,32793290,,,4.68,,,10.27,,
,,,,,,,Overseas,,,2561707,,,2577468,,,4.73,,,0.62,,,29739917,,,32793290,,,4.68,,,10.27,
,,,,,,,Coastal,,,872241,,,1213255,,,6.31,,,39.10,,,11984432,,,10416846,,,4.88,,,-13.08,
,,,,,,Total,,,3433948,,,3790723,,,5.14,,,10.39,,,41724349,,,43210136,,,4.72,,,3.56,,
7,,,Cochin,,,Overseas,,,1916496,,,1704804,,,3.13,,,-11.05,,,25199401,,,24999500,,,3.56,,,-0.79,,
,,,,,,,Overseas,,,1916496,,,1704804,,,3.13,,,-11.05,,,25199401,,,24999500,,,3.56,,,-0.79,
,,,,,,,Coastal,,,1115391,,,1032621,,,5.37,,,-7.42,,,12546042,,,13063047,,,6.12,,,4.12,
,,,,,,Total,,,3031887,,,2737425,,,3.71,,,-9.71,,,37745444,,,38062547,,,4.16,,,0.84,,
8,,,New Mangalore,,,Overseas,,,2879039,,,2706963,,,4.96,,,-5.98,,,37276276,,,37059025,,,5.28,,,-0.58,,
,,,,,,,Overseas,,,2879039,,,2706963,,,4.96,,,-5.98,,,37276276,,,37059025,,,5.28,,,-0.58,
,,,,,,,Coastal,,,666515,,,1264043,,,6.58,,,89.65,,,8738146,,,12990104,,,6.09,,,48.66,
,,,,,,Total,,,3545554,,,3971006,,,5.38,,,12.00,,,46014422,,,50049129,,,5.47,,,8.77,,
9,,,Mormugao,,,Overseas,,,1072552,,,1661792,,,3.05,,,54.94,,,13731000,,,17271283,,,2.46,,,25.78,,
,,,,,,,Overseas,,,1072552,,,1661792,,,3.05,,,54.94,,,13731000,,,17271283,,,2.46,,,25.78,
,,,,,,,Coastal,,,411026,,,315728,,,1.64,,,-23.19,,,4395000,,,3566070,,,1.67,,,-18.86,
,,,,,,Total,,,1483578,,,1977520,,,2.68,,,33.29,,,18126000,,,20837353,,,2.28,,,14.96,,
10,,,Mumbai,,,Overseas,,,3654805,,,4341764,,,7.96,,,18.80,,,46289000,,,52787644,,,7.53,,,14.04,,
,,,,,,,Overseas,,,3654805,,,4341764,,,7.96,,,18.80,,,46289000,,,52787644,,,7.53,,,14.04,
,,,,,,,Coastal,,,1834919,,,1746015,,,9.08,,,-4.85,,,22336000,,,22359872,,,10.48,,,0.11,
,,,,,,Total,,,5489724,,,6087779,,,8.25,,,10.89,,,68625000,,,75147516,,,8.22,,,9.50,,
11,,,JNPA,,,Overseas,,,7827435,,,8898960,,,16.32,,,13.69,,,85230870,,,93426704,,,13.32,,,9.62,,
,,,,,,,Overseas,,,7827435,,,8898960,,,16.32,,,13.69,,,85230870,,,93426704,,,13.32,,,9.62,
,,,,,,,Coastal,,,608353,,,718752,,,3.74,,,18.15,,,6884260,,,8581177,,,4.02,,,24.65,
,,,,,,Total,,,8435788,,,9617712,,,13.04,,,14.01,,,92115130,,,102007881,,,11.15,,,10.74,,
12,,,Deendayal,,,Overseas,,,11393596,,,10105184,,,18.53,,,-11.31,,,134410000,,,138182151,,,19.70,,,2.81,,
,,,,,,,Overseas,,,11393596,,,10105184,,,18.53,,,-11.31,,,134410000,,,138182151,,,19.70,,,2.81,
,,,,,,,Coastal,,,1435354,,,1643993,,,8.55,,,14.54,,,15747000,,,21932146,,,10.28,,,39.28,
,,,,,,Total,,,12828950,,,11749177,,,15.93,,,-8.42,,,150157000,,,160114297,,,17.50,,,6.63,,
Total,,,,,,Overseas,,,55618081,,,54537683,,,73.94,,,-1.94,,,657716203,,,701277467,,,76.67,,,6.62,,
,,,,,,Coastal,,,16356502,,,19222431,,,26.06,,,17.52,,,197142028,,,213449728,,,23.33,,,8.27,,
,,,,,,Total,,,71974583,,,73760114,,,100.00,,,2.48,,,854858231,,,914727195,,,100.00,,,7.00,,
