Table-2: Commodity-Wise Cargo handled by Major Ports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal Commodities,,,,,,,April 2025,,April 2026 (A),,,,,,"Percentage
Change in
April 2026
over April
2025",,,,April-March,,April-March 2025-26 (A),,,,,,,Percentage,
,,,,,,,(P),,,,,,,,,,,,2024-25,,,,,,,,,Change in,
,,,,,,"Cargo
handled",Cargo,,"Cargo
handled",,,% share,,,,,,Cargo handled,Cargo handled,,"Cargo
handled",,,% share,,,,"April-
March",
,,,,,,,handled,,,,,,,,,,,,,,,,,,,,,2025-26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,over April-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,March,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-25,
POL and Crude Products,,,,,,21096020,,,19953876,,,27.05,,,-5.41,,,234361802,,,272270732,,,29.77,,,16.18,,
Coal,,,,,,17376344,,,17149976,,,23.25,,,-1.30,,,150158914,,,192321442,,,21.03,,,28.08,,
,Iron Ore,,,,,,4002632,,,4135887,,,5.61,,,3.33,,,49320635,,,50079926,,,5.47,,,1.54,
Fertilizer,,,,,,1707127,,,1343776,,,1.82,,,-21.28,,,25883110,,,29257392,,,3.20,,,13.04,,
,Foodgrains,,,,,,214430,,,242791,,,0.33,,,13.23,,,5709102,,,3157754,,,0.35,,,-44.69,
Other Commodities,,,,,,10533916,,,12555086,,,17.02,,,19.19,,,195904368,,,154631653,,,16.90,,,-21.07,,
Container Tonnes,,,,,,17044114,,,18378722,,,24.92,,,7.83,,,193520300,,,213008296,,,23.29,,,10.07,,
Container TEUs,,,,,,1180681,,,1319811,,,1.79,,,11.78,,,13533963,,,14915896,,,1.63,,,10.21,,
,Total,,,,,,71974583,,,73760114,,,100.00,,,2.48,,,854858231,,,914727195,,100.00,,,7.00,,
