Table 2 : Traffic Handled at Major Ports,,,,,,,,,
(000' Tonnes),,,,,,,,,
Ports,,,2017-18,2018-19,2019-20,2020-21,2021-22,"2022-23
(P)","%
change -
2022-23
w.r.t to
2021-22"
1,,,2,3,4,5,6,7,8
SMP Kolkata,,,57891,63763,63983,61368,58175,65660,12.9
SMP Kolkata DS,,,17390,18551,17303,15900,15298,17052,11.5
SMP Haldia DC,,,40501,45212,46680,45468,42877,48608,13.4
Paradip,,,102028,109302,112689,114549,116134,135329,16.5
,Vizag,,63537,65301,72722,69843,69030,73750,6.8
Kamarajar,,,30446,34498,31746,25889,38742,43507,12.3
Chennai,,,51881,53012,46758,43553,48564,48949,0.8
V.O.Chidambaranar,,,36583,34342,36076,31790,34119,38041,11.5
Cochin,,,29143,32021,34038,31503,34551,35256,2.0
New Mangalore,,,42059,42508,39145,36500,39296,41417,5.4
Mormugao,,,26897,17683,16017,21988,18456,17334,-6.1
Mumbai,,,62902,60634,60696,53324,59891,63606,6.2
JNPT,,,66004,70706,68449,64809,75996,83861,10.3
Deendayal,,,110099,115401,122606,117566,127100,137561,8.2
All Ports,,,679470,699171,704925,672682,720054,784270,8.9
