Table 3 : Commodity wise Traffic Handled at Major Ports,,,,,,,,,,,,,
(000' Tonnes),,,,,,,,,,,,,
Commodities,2017-18,2018-19,2019-20,2020-21,,,2021-22,,,"2022-23
(P)",,,"% change
2022-23
w.r.t to
2021-22"
1,2,3,4,5,,,6,,,7,,,8
POL *,213261,220940,221634,191063,,,,203194,,,219826,,8.2
Iron Ore @,41170,38814,55681,64330,,,,52236,,,46420,,-11.1
Fertiliser #,15052,15414,16154,,17947,,,16091,,,16166,,0.5
1. Finished,7523,8428,9555,10381,,,,7493,,,7888,,5.3
2. Raw (DRY),7529,6986,6599,7566,,,,8598,,,8278,,-3.7
Coal,126725,137481,118879,102928,,,,123246,,,144918,,17.6
1. Thermal Coal,87145,99600,78771,68881,,,87033,,,106314,,,22.2
2. Coking Coal,39580,37881,40109,34047,,,,36213,,,38604,,6.6
Food Grain $,2396,798,406,1555,,,,7033,,,6936,,-1.4
"Container
(Tonnes)",133726,145522,146861,143710,,,167381,,,170285,,,1.7
,,,,,,,,167381,,,170285,,
Others,147140,140202,145310,151149,,,,150873,,,179720,,19.1
Total,679470,699171,704925,672682,,,720054,,,784270,,,8.9
"* Includes POL crude and POL Products only, @ includes iron ore fine and pellets only, # includes
Fertilizer finished and FRM-Dry only, $ excludes pulses
P : Provisional
Source: Major Ports",,,,,,,,,,,,,
