Table 4: Container Traffic at Major Ports (in thousand tonnes/TEUs),,,,,,,,,,,,,,,,
PORT,2020-21,,2021-22,,,,,,2022-23 (P),,,,,,"% change 2022-23
w.r.t to 2021-22",
,Tn,TEU,Tn,,,TEU,,,Tn,,,TEU,,,Tn,TEU
1,4,5,6,,,7,,,,,,,,,8,9
SMP Kolkata DS,8237,538,,8441,,,570,,8520,,,569,,,0.9,-0.2
SMP Haldia DC,2927,149,,3353,,,165,,,2067,,,107,,-38.4,-35.2
Paradip,279,16,184,,,10,,,192,,,11,,,4.3,15.9
Vizag,8178,481,8583,,,512,,,8460,,,522,,,-1.4,2.0
Chennai,26768,1387,30925,,,1602,,,28377,,,1470 -8.2,,,,-8.2
Kamarajar,3871,198,9269,,,480,,,10617,,,550,,,14.6,14.7
Chidambanar,15023,762,15905,,,781,,,14678,,,734,,,-7.7,-6.0
Cochin,9550,690,10278,,,736,,,9986,,,695,,,-2.8,-5.5
New Mangalore,2291,150,2309,,,152,,,2369,,,166,,,2.6,8.5
Mormugao,307,22,184,,,14,,,28,,,3,,,-84.8,-79.5
JNPT,57746,4677,69092,,,5685,,,76194,,,6190,,,10.3,8.9
Mumbai,255,25,238,,,25,,,225,,,21,,,-5.6,-15.4
Deendayal,8279,515,8620,,,493,,,8572,,,494,,,-0.6,0.3
All Ports,143710,9610,167381,,,11225,,,170285,,,11533,,,1.7,2.7
"Note: CP - Corresponding period of previous year; (P) - Provisional; Tn - tonnes; TEU –twenty foot
equivalent unit
Source: BPS and Major Ports",,,,,,,,,,,,,,,,
