"Table 5 : Traffic Handled by Non-Major Ports by Maritime States/UTs
(000’Tonnes)",,,,,,,,
"Maritime
State/UT",2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,"% Change over
previous year",
,,,,,,,2021-22,"2022-23
(P)"
Gujarat,370769,399197,411791,387572,405394,416357,4.6,2.7
,(70.1),(68.5),(67.0),(67.1),(67.1),(64.0),,
Maharashtra,37906,45786,43661,39844,52474,71257,31.7,35.8
,(7.2),(7.9),(7.1),(6.9),(8.7),(10.9),,
"Andhra
Pradesh",86285,103334,99905,89637,87984,101453,-1.8,15.3
,(16.3),(17.7),(16.2),(15.5),(14.6),(15.6),,
Goa,72,15,8,35,27,0.008,-23.2,-100.0
,(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),,
Tamil Nadu,1103,960,11370,7407,7840,9877,5.9,26.0
,(0.2),(0.2),(1.8),(1.3),(1.3),(1.5),,
Karnataka,680,1044,935,785,787,1057,0.3,34.3
,(0.1),(0.2),(0.2),(0.1),(0.1),(0.2),,
A&N,1418,1495,1851,1433,1535,1884,7.2,22.7
,(0.3),(0.3),(0.3),(0.2),(0.3),(0.3),,
Odisha,22595,22186,35269,43033,41543,38711,-3.5,-6.8
,(4.3),(3.8),(5.7),(7.5),(6.9),(5.9),,
Kerala,138,222,156,113,140,241,23.4,72.6
,(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),,
Puducherry,8121,8370,10101,7330,5839,10120,-20.3,73.3
,(1.5),(1.4),(1.6),(1.3),(1.0),(1.6),,
Lakshadweep,0,0,0,116,184,,52.3,"-100.0
7.8"
,(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),,
"All
M. States / UTs",529087,582609,615046,577303,603747,650956,4.6,
,(100.0),(100.0),(100.0),(100.0),(100.0),(100.0),,
"Note: Figure in parenthesis is the percentage share of traffic handled by the maritime state to the total
traffic handled by all the maritime states;
P- Provisional",,,,,,,,
