Table 6: Commodity-wise Traffic Handled by Non-Major Ports,,,,,,,,
(000’Tonnes),,,,,,,,
Commodity,"2017-
18","2018-
19",2019-20,2020-21,2021-22,"2022-23
(P)","% Change over
previous year",
,,,,,,,"2021-
22","2022-23
(P)"
POL*,193422,191749,197158,157628,163045,185298,3.4,13.6
,(36.6),(32.9),(32),(27.3),(27.0),(28.5),,
Iron Ore**,36596,44823,39968,42989,42453,52292,-1.2,23.2
,(6.9),(7.7),(6.5),(7.4),(7.0),(8.0),,
"Building
Material$",15588,16162,15004,13885,12697,14527,-8.6,14.4
,(2.9),(2.8),(2.4),(2.4),(2.1),(2.2),,
Coal@,146684,171096,178525,153841,144922,176852,-5.8,22.0
,(27.7),(29.4),(29.0),(26.6),(24.0),(27.2),,
"Fertilizer &
FRM&",11714,16224,15959,13413,13878,18071,3.5,30.2
,(2.2),(2.8),(2.6),(2.3),(2.3),(2.8),,
Others,125085,142555,168433,195547,226753,203916,16.0,-10.1
,(23.6),(24.5),(27.4),(33.9),(37.6),(31.3),,
All,529089,582609,615046,577303,603747,650956,4.6,7.8
,(100.0),(100.0),(100.0),(100.0),(100.0),(100.0),,
"Note: Figure in parenthesis is the percentage share of major commodity groups in the total traffic handled
by the Non major ports
* includes POL crude, POL products, LPG/LNG, Naphtha and Fuel oil. @ includes Thermal Coal, Coking coal,
other coal and Pet coal
$ includes Building Material and Cement/Clinker ** includes iron ore fines and Pellets
& includes Fertilisers, FRM-Liquid, FRM-Dry and Rock Phosphate
Source: BPS and Non Major Ports/State Maritime Boards",,,,,,,,
